Gene_ID,Genebank
gene497,102079054
gene498,100698578
gene499,100692979
gene500,100698317
gene501,100692705
gene502,100692435
gene503,100692166
gene504,100691899
gene505,100691631
gene506,100691360
gene507,100698050
gene508,100697786
gene509,100691091
gene510,100690828
gene511,100690554
gene512,100690286
gene513,100697515
gene514,100690019
gene515,102080134
gene516,102080054
gene517,100689751
gene518,100712372
gene519,100712104
gene520,100697250
gene521,100696981
gene523,100711837
gene524,100711569
gene526,100711032
gene528,100710764
gene530,100710496
gene533,100710239
gene534,102080850
gene535,100696715
gene537,106098275
gene538,102081837
gene539,100709972
gene540,100696267
gene541,100709700
gene543,100709429
gene544,100695831
gene545,100695564
gene546,100709162
gene547,100708892
gene548,100695127
gene549,102083064
gene550,100694861
gene551,100708622
gene552,100694596
gene553,100694329
gene554,100694056
gene557,100693610
gene558,100708349
gene559,100708079
gene560,100707810
gene561,100707540
gene562,100707281
gene563,100707014
gene564,100706744
gene565,100706473
gene566,100706212
gene567,100705942
gene568,106098272
gene569,100705681
gene570,100693343
gene571,100693072
gene572,100692797
gene573,100692528
gene574,100692258
gene575,100691806
gene576,100691536
gene577,100691267
gene579,100705417
gene580,100691003
gene582,102081115
gene584,112846432
gene585,112847042
gene586,100705147
gene587,100690737
gene588,100690463
gene589,100704878
gene590,100690194
gene591,100704610
gene592,100704341
gene593,100704073
gene599,109194166
gene600,100695720
gene605,100699815
gene609,100699549
gene610,100699276
gene611,102081891
gene612,100696967
gene613,100696702
gene614,100699008
gene615,100698737
gene617,100698205
gene618,109201996
gene619,100696435
gene620,100697933
gene622,100697404
gene623,100696168
gene624,100697134
gene625,100695910
gene627,100696869
gene628,100695641
gene629,100695379
gene630,100696604
gene631,100696340
gene632,100696074
gene633,100694759
gene634,100694489
gene635,100695816
gene636,109194159
gene637,100694224
gene638,100693950
gene639,100695286
gene642,102077149
gene644,100695017
gene646,100693681
gene648,102078235
gene649,100693420
gene650,100693147
gene651,100692873
gene652,100692604
gene653,100694760
gene654,100692333
gene655,100692061
gene656,100691792
gene657,100694490
gene658,100691523
gene659,100694225
gene660,100691254
gene661,100693951
gene662,100690990
gene663,100693682
gene666,100693421
gene668,109202892
gene669,100690723
gene670,100693148
gene671,100692874
gene673,100692605
gene674,109202135
gene676,100692334
gene677,100692062
gene678,100690448
gene679,100691793
gene680,100690181
gene681,100691524
gene683,100691255
gene684,100689916
gene686,100712533
gene687,100712089
gene690,100690991
gene691,100711822
gene692,100711554
gene693,100711282
gene695,102076553
gene697,100690724
gene698,100690449
gene699,100690182
gene700,100689917
gene701,100712534
gene702,100711017
gene703,100712266
gene704,100711998
gene705,100710748
gene706,100711729
gene707,100711457
gene708,100711186
gene709,100710921
gene710,100710655
gene711,100534446
gene712,100710223
gene713,100709766
gene714,106098008
gene715,100710390
gene716,100710129
gene717,100709496
gene718,100707718
gene719,106098009
gene720,100709234
gene721,100709323
gene722,100709051
gene723,100708783
gene724,100708513
gene725,100708246
gene726,100708782
gene727,109194169
gene728,100707975
gene729,102081663
gene730,100707703
gene731,102081892
gene732,100708512
gene733,100708245
gene734,100707974
gene735,100707702
gene736,100707434
gene737,100707168
gene738,100706907
gene739,100707433
gene740,100706636
gene741,100706368
gene742,100706104
gene743,100707167
gene745,100706906
gene746,100705839
gene747,100706635
gene748,100705578
gene749,100705311
gene750,102077890
gene751,100705046
gene752,100704775
gene753,100706367
gene755,100704506
gene756,100704236
gene757,100703965
gene758,102077336
gene759,100703698
gene760,100705838
gene761,100705577
gene762,100705310
gene763,100703422
gene764,100705045
gene765,100703152
gene766,100702885
gene767,100704774
gene768,100702617
gene769,100704505
gene771,100702346
gene772,100702083
gene773,100703964
gene774,100703697
gene775,100703421
gene776,100703151
gene778,102079963
gene779,106098010
gene780,100701811
gene781,100701538
gene782,100702884
gene783,100700991
gene784,112847669
gene786,100702616
gene787,100700723
gene788,100702345
gene789,100700455
gene790,100700179
gene791,100702082
gene792,100701810
gene793,100699912
gene794,100699646
gene795,100699373
gene796,100701352
gene797,100701078
gene798,100699106
gene799,100700454
gene800,100698835
gene801,100700178
gene803,100698564
gene804,100699911
gene805,100698303
gene806,100698036
gene807,102076176
gene808,100697773
gene809,100699462
gene810,109202912
gene811,102081219
