49293
0	45	0
2394	2567	46
3243	3392	220
0	1408	0
0	128	0
1246	1381	129
3112	3188	265
3305	3360	342
0	210	0
1135	1270	211
3001	3077	347
3194	3249	424
0	136	0
670	805	137
2536	2612	273
2729	2784	350
0	970	0
3852	4351	971
0	42	0
6453	6617	43
22871	22887	208
0	98	0
196	690	99
807	917	594
0	133	0
2867	2938	134
3497	3571	206
4003	4157	281
4401	4493	436
6153	6254	529
6367	6592	631
6679	6885	857
8308	8395	1064
8562	8767	1152
11413	11673	1358
12749	12853	1619
13438	13539	1724
13636	13763	1826
14572	14698	1954
14806	14940	2081
18427	18477	2216
18653	18736	2267
19016	19154	2351
20613	20801	2490
21177	21298	2679
21393	21485	2801
21797	21885	2894
24573	24614	2983
24713	24821	3025
24909	25025	3134
25300	25538	3251
25615	25704	3490
26129	26276	3580
26862	26981	3728
27078	27200	3848
27304	27381	3971
27711	27782	4049
27897	27999	4121
28203	28283	4224
28357	28485	4305
28565	28680	4434
29018	29278	4550
30796	30885	4811
31674	31851	4901
31986	32083	5079
32466	32717	5177
32819	32894	5429
34807	35027	5505
0	133	0
2867	2938	134
3497	3571	206
4003	4157	281
4401	4493	436
6153	6254	529
6367	6592	631
6679	6885	857
8308	8395	1064
8562	8755	1152
11413	11673	1346
12749	12853	1607
13438	13539	1712
13636	13763	1814
14572	14698	1942
14806	14940	2069
18427	18477	2204
18653	18736	2255
19016	19154	2339
20613	20801	2478
21177	21298	2667
21393	21485	2789
21797	21885	2882
24573	24614	2971
24713	24821	3013
24909	25025	3122
25300	25538	3239
25615	25704	3478
26129	26276	3568
26862	26981	3716
27078	27200	3836
27304	27381	3959
27711	27782	4037
27897	27999	4109
28203	28283	4212
28357	28485	4293
28565	28680	4422
29018	29278	4538
30796	30885	4799
31674	31851	4889
31986	32083	5067
32466	32717	5165
32819	32894	5417
34807	35027	5493
0	133	0
2867	2938	134
8308	8395	206
8562	8767	294
11413	11673	500
12749	12853	761
13438	13539	866
13636	13763	968
14572	14698	1096
14806	14940	1223
18427	18477	1358
18653	18736	1409
19016	19154	1493
20613	20801	1632
21177	21298	1821
21393	21485	1943
21797	21885	2036
24573	24614	2125
24713	24821	2167
24909	25025	2276
25300	25538	2393
25615	25704	2632
26129	26276	2722
26862	26981	2870
27078	27200	2990
27304	27381	3113
27711	27782	3191
27897	27999	3263
28203	28283	3366
28357	28485	3447
28565	28680	3576
29018	29278	3692
30796	30885	3953
31674	31851	4043
31986	32083	4221
32466	32717	4319
32819	32894	4571
34807	35027	4647
0	18	0
1962	2033	19
2592	2666	91
3098	3252	166
3496	3588	321
5248	5349	414
5462	5687	516
5774	5980	742
7403	7490	949
7657	7862	1037
10508	10768	1243
11844	11948	1504
12533	12634	1609
12731	12858	1711
13667	13793	1839
13901	14035	1966
17522	17572	2101
17748	17831	2152
18111	18249	2236
19708	19896	2375
20272	20393	2564
20488	20580	2686
20892	20980	2779
23668	23709	2868
23808	23916	2910
24004	24120	3019
24395	24633	3136
24710	24799	3375
25224	25371	3465
25957	26076	3613
26173	26295	3733
26399	26476	3856
26806	26877	3934
26992	27094	4006
27298	27378	4109
27452	27580	4190
27660	27775	4319
28113	28373	4435
29891	29980	4696
30769	30946	4786
31081	31178	4964
31561	31812	5062
31914	31989	5314
33902	34122	5390
0	92	0
1686	1853	93
1966	2191	261
2278	2484	487
3907	3994	694
4161	4366	782
7012	7272	988
8348	8452	1249
9037	9138	1354
9235	9362	1456
10171	10297	1584
10405	10539	1711
14026	14076	1846
14252	14335	1897
14615	14753	1981
16212	16400	2120
16776	16897	2309
16992	17084	2431
17396	17484	2524
20172	20213	2613
20312	20420	2655
20508	20624	2764
20899	21137	2881
21214	21303	3120
21728	21875	3210
22461	22580	3358
22677	22799	3478
22903	22980	3601
23310	23381	3679
23496	23598	3751
23802	23882	3854
23956	24084	3935
24164	24279	4064
24617	24877	4180
26395	26484	4441
27273	27450	4531
27585	27682	4709
28065	28316	4807
28418	28493	5059
30406	30626	5135
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4342	4977	1062
5260	5275	1698
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4882	4977	1062
5260	5478	1158
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4882	4977	1062
5163	5478	1158
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4882	5478	1062
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4775	5478	1062
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4342	4977	1062
5163	5479	1698
0	477	0
1352	1483	478
1822	1928	610
3092	3201	717
3301	3428	827
4145	4251	955
4342	4691	1062
4775	5479	1412
0	4887	0
5720	5808	4888
6237	7249	4977
0	258	0
369	4887	259
6237	7249	4778
0	364	0
996	1158	365
1236	1307	528
2303	2377	600
2900	3049	675
3140	3245	825
3475	5196	931
0	1228	0
1317	1451	1229
3216	3410	1364
3573	3695	1559
5245	5352	1682
6624	6808	1790
7028	7123	1975
7220	7262	2071
8055	8169	2114
8294	8386	2229
13352	13492	2322
15095	15654	2463
0	359	0
6866	6973	360
10614	10736	468
13164	13289	591
17098	17244	717
22112	22240	864
23134	23259	993
24979	25122	1119
26111	26242	1263
28520	28654	1395
30466	30591	1530
30848	30987	1656
32391	32517	1796
32848	32976	1923
33585	35343	2052
0	357	0
6864	6971	358
10612	10734	466
13162	13287	589
22110	22238	715
23132	23257	844
24977	25120	970
26109	26240	1114
28518	28652	1246
30464	30589	1381
30846	30985	1507
32389	32515	1647
32846	32974	1774
33583	35341	1903
0	357	0
6864	6971	358
10612	10734	466
22110	22238	589
23132	23257	718
24977	25120	844
26109	26240	988
28518	28652	1120
30464	30589	1255
30846	30985	1381
32389	32515	1521
32846	32974	1648
33583	35341	1777
0	2521	0
2611	2636	2522
6480	6541	2548
6619	6735	2610
7383	7430	2727
7549	7674	2775
8250	8420	2901
8503	8649	3072
10161	10211	3219
10553	10845	3270
0	2527	0
2611	2636	2528
6480	6541	2554
6619	6735	2616
7383	7430	2733
7549	7674	2781
8250	8420	2907
8503	8649	3078
10161	10211	3225
10553	10846	3276
0	2521	0
2611	2636	2522
4637	4745	2548
6480	6541	2657
6619	6735	2719
7383	7430	2836
7549	7674	2884
8250	8420	3010
8503	8649	3181
10161	10211	3328
10553	10848	3379
0	2527	0
2611	2636	2528
4637	4745	2554
6480	6541	2663
6619	6735	2725
7383	7430	2842
7549	7674	2890
8250	8420	3016
8503	8649	3187
10161	10211	3334
10553	10848	3385
0	2521	0
2611	2636	2522
4637	4745	2548
6480	6541	2657
6619	6735	2719
7383	7430	2836
7549	7674	2884
8250	8420	3010
8503	8649	3181
10553	10851	3328
0	1555	0
4331	4814	1556
0	97	0
3664	3745	98
3793	4099	180
5966	6060	487
6247	6557	582
7021	7217	893
7305	7628	1090
7717	7825	1414
8113	8244	1523
9898	10242	1655
10333	10475	2000
10903	11099	2143
11188	11278	2340
11363	11530	2431
11619	11827	2599
12475	12568	2808
12645	12897	2902
14663	14866	3155
14950	15135	3359
15214	15410	3545
15494	15698	3742
16125	16269	3947
16365	16506	4092
16892	17087	4234
17675	17939	4430
18292	18709	4695
19029	19230	5113
19306	19450	5315
19514	19643	5460
19864	19936	5590
22035	22184	5663
22261	22469	5813
22593	22640	6022
22724	22900	6070
24016	24147	6247
24346	24461	6379
24535	24620	6495
25236	25553	6581
0	97	0
3664	3745	98
3818	4099	180
5966	6060	462
6247	6557	557
7021	7217	868
7305	7628	1065
7717	7825	1389
8113	8244	1498
9898	10242	1630
10333	10475	1975
10903	11099	2118
11188	11278	2315
11363	11530	2406
11619	11827	2574
12475	12568	2783
12645	12897	2877
14663	14866	3130
14950	15135	3334
15214	15410	3520
15494	15698	3717
16125	16269	3922
16365	16506	4067
16892	17087	4209
17675	17939	4405
18292	18709	4670
19029	19230	5088
19306	19450	5290
19514	19643	5435
19864	19936	5565
22035	22184	5638
22261	22469	5788
22593	22640	5997
22724	22900	6045
24016	24147	6222
24346	24461	6354
24535	24620	6470
25236	25553	6556
0	97	0
3664	3745	98
3818	4099	180
5966	6060	462
6247	6557	557
7021	7217	868
7305	7628	1065
7717	7825	1389
8113	8244	1498
9898	10242	1630
10333	10475	1975
10903	11099	2118
11188	11278	2315
11363	11530	2406
11619	11827	2574
12475	12568	2783
12645	12897	2877
14663	14866	3130
14950	15135	3334
15214	15410	3520
15494	15698	3717
16125	16269	3922
16365	16506	4067
16892	17087	4209
17675	17939	4405
18292	18709	4670
19029	19230	5088
19306	19450	5290
19526	19643	5435
19864	19936	5553
22035	22184	5626
22261	22469	5776
22593	22640	5985
22724	22900	6033
24016	24147	6210
24346	24461	6342
24535	24620	6458
25236	25553	6544
0	97	0
3664	3745	98
3818	4099	180
5966	6060	462
6247	6557	557
7021	7217	868
7305	7628	1065
7717	7825	1389
8113	8244	1498
9898	10242	1630
10333	10475	1975
10903	11099	2118
11188	11278	2315
11363	11530	2406
11619	11827	2574
12475	12568	2783
12645	12897	2877
14663	14866	3130
14953	15135	3334
15214	15410	3517
15494	15698	3714
16125	16269	3919
16365	16506	4064
16892	17087	4206
17675	17939	4402
18292	18709	4667
19029	19230	5085
19306	19450	5287
19514	19643	5432
19864	19936	5562
22035	22184	5635
22261	22469	5785
22593	22640	5994
22724	22900	6042
24016	24147	6219
24346	24461	6351
24535	24620	6467
25236	25553	6553
0	97	0
3664	3745	98
3826	4099	180
5966	6060	454
6247	6557	549
7021	7217	860
7305	7628	1057
7717	7825	1381
8113	8244	1490
9898	10242	1622
10333	10475	1967
10903	11099	2110
11188	11278	2307
11363	11530	2398
11619	11827	2566
12475	12568	2775
12645	12897	2869
14663	14866	3122
14950	15135	3326
15214	15410	3512
15494	15698	3709
16125	16269	3914
16365	16506	4059
16892	17087	4201
17675	17939	4397
18292	18709	4662
19029	19230	5080
19306	19450	5282
19514	19643	5427
19864	19936	5557
22035	22184	5630
22261	22469	5780
22593	22640	5989
22724	22900	6037
24016	24147	6214
24346	24461	6346
24535	24620	6462
25236	25553	6548
0	85	0
1043	1124	86
1197	1478	168
3345	3439	450
3626	3936	545
4400	4596	856
4684	5007	1053
5096	5204	1377
5492	5623	1486
7277	7621	1618
7712	7854	1963
8282	8478	2106
8567	8657	2303
8742	8909	2394
8998	9206	2562
9854	9947	2771
10024	10276	2865
12042	12245	3118
12329	12514	3322
12593	12789	3508
12873	13077	3705
13504	13648	3910
13744	13885	4055
14271	14466	4197
15054	15318	4393
15671	16088	4658
16408	16609	5076
16685	16829	5278
16893	17022	5423
17243	17315	5553
19414	19563	5626
19640	19848	5776
19972	20019	5985
20103	20279	6033
21395	21526	6210
21725	21840	6342
21914	21999	6458
22615	22932	6544
0	865	0
1676	1872	866
2422	2604	1063
2697	2774	1246
5505	7110	1324
0	8510	0
0	646	0
723	908	647
982	1104	833
3220	3367	956
3591	3733	1104
4831	4935	1247
5029	5153	1352
5905	6061	1477
6218	6302	1634
6859	6994	1719
7077	7236	1855
7586	7702	2015
7812	7912	2132
8001	8172	2233
8263	8402	2405
10134	10317	2545
10392	10461	2729
10546	10683	2799
11136	11304	2937
11394	11508	3106
12585	12731	3221
0	97	0
293	512	98
0	603	0
812	846	604
927	1046	639
1186	1522	759
1870	1891	1096
0	438	0
544	1118	439
1200	1324	1014
0	1093	0
1175	1299	1094
0	334	0
413	515	335
621	688	438
3016	3353	506
0	334	0
413	515	335
621	688	438
3016	3099	506
3369	3706	590
0	604	0
759	851	605
948	1278	698
0	27	0
537	1283	28
0	1114	0
1279	1399	1115
0	739	0
1001	1077	740
1156	1273	817
1455	3924	935
4414	4503	3405
8101	8166	3495
8815	8919	3561
9340	9516	3666
9595	9677	3843
9758	9923	3926
10093	10310	4092
10492	11670	4310
11749	11851	5489
11957	12024	5592
16481	16564	5660
16834	16986	5744
0	521	0
1229	1295	522
4629	4802	589
20846	21019	763
23245	23424	937
26272	26451	1117
29817	29990	1297
32808	33854	1471
0	139	0
268	328	140
0	1918	0
6206	6239	1919
0	139	0
268	328	140
0	227	0
1211	1312	228
1566	1695	330
1771	1841	460
4147	4831	531
0	551	0
657	1106	552
1188	1506	1002
0	70	0
715	818	71
1241	1417	175
1496	1578	352
1659	1824	435
1994	2212	601
2400	2469	820
0	150	0
279	336	151
0	417	0
19103	19204	418
24489	24587	520
25556	25654	619
25805	25903	718
26907	27092	817
29289	29312	1003
30671	30679	1027
31214	31312	1036
31835	31933	1135
33153	33251	1234
33816	34013	1333
34146	34244	1531
35175	35273	1630
35427	35525	1729
35620	35817	1828
37645	37743	2026
38095	38193	2125
38748	38945	2224
39258	39356	2422
39462	39560	2521
39635	39733	2620
39917	40015	2719
40562	40634	2818
43252	43393	2891
43731	43742	3033
44723	44810	3045
45592	45695	3133
45938	45976	3237
47350	47574	3276
48653	48751	3501
49793	49947	3600
50031	50242	3755
50523	50727	3967
50812	50908	4172
51011	51239	4269
51433	51558	4498
51709	51831	4624
53253	53285	4747
53520	53541	4780
55494	60065	4802
60559	60636	9374
60770	60901	9452
60999	61136	9584
61435	61669	9722
62035	62095	9957
76382	76465	10018
76556	76720	10102
77584	77772	10267
77950	78041	10456
79067	81369	10548
0	416	0
19102	19203	417
24488	24586	519
25555	25653	618
25804	25902	717
26906	27091	816
29288	29311	1002
30670	30678	1026
31213	31311	1035
31834	31932	1134
33152	33250	1233
33815	34012	1332
34145	34243	1530
35174	35272	1629
35426	35524	1728
35619	35816	1827
37644	37742	2025
38094	38192	2124
38747	38944	2223
39257	39355	2421
39461	39559	2520
39634	39732	2619
39916	40014	2718
40561	40633	2817
43251	43392	2890
43730	43741	3032
44722	44809	3044
45591	45694	3132
45937	45975	3236
47349	47573	3275
48652	48750	3500
49792	49946	3599
50030	50241	3754
50522	50726	3966
50811	50907	4171
51010	51238	4268
51432	51557	4497
51708	51830	4623
53252	53284	4746
53519	53540	4779
55493	57058	4801
58034	60064	6367
60558	60635	8398
60769	60900	8476
60998	61135	8608
61434	61668	8746
62034	62094	8981
75710	75802	9042
76381	76464	9135
76555	76719	9219
77583	77771	9384
77949	78040	9573
79066	81368	9665
0	2500	0
2690	11177	2501
11567	13602	10989
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
12019	12078	1855
17137	17177	1915
18951	18993	1956
19108	19191	1999
19277	19399	2083
20606	20700	2206
21311	21394	2301
22203	22305	2385
27936	28008	2488
33329	33394	2561
36587	36641	2627
43056	43115	2682
92952	93046	2742
93694	93742	2837
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
17137	17174	1810
18951	18993	1848
19108	19191	1891
19277	19399	1975
20606	20700	2098
21311	21394	2193
22203	22305	2277
27936	28008	2380
33329	33394	2453
36587	36641	2519
43056	43115	2574
92952	93046	2634
95880	96259	2729
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
17137	17177	1810
18951	18993	1851
19108	19191	1894
19277	19399	1978
20606	20700	2101
21311	21394	2196
22203	22305	2280
27936	28008	2383
33329	33394	2456
36587	36641	2522
43056	43115	2577
92952	93046	2637
95880	96259	2732
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
17137	17174	1855
18951	18993	1893
19108	19191	1936
19277	19399	2020
20606	20700	2143
21311	21394	2238
22203	22305	2322
27936	28008	2425
33329	33394	2498
36587	36641	2564
43056	43115	2619
92952	93046	2679
95880	96260	2774
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
12019	12078	1855
17137	17174	1915
18951	18993	1953
19108	19191	1996
19277	19399	2080
20606	20700	2203
21311	21394	2298
22203	22305	2382
27936	28008	2485
33329	33394	2558
36587	36641	2624
43056	43115	2679
92952	93046	2739
95880	96261	2834
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
17137	17177	1855
18951	18993	1896
19108	19191	1939
19277	19399	2023
20606	20700	2146
21311	21394	2241
22203	22305	2325
27936	28008	2428
33329	33394	2501
36587	36641	2567
43056	43115	2622
92952	93046	2682
95880	96261	2777
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
12019	12078	1855
17137	17177	1915
18951	18993	1956
19108	19191	1999
19277	19399	2083
20606	20700	2206
21311	21394	2301
22203	22305	2385
27936	28008	2488
33329	33394	2561
36587	36641	2627
43056	43115	2682
92952	93046	2742
95880	96261	2837
0	1360	0
1772	2000	1361
2682	2776	1590
2868	2943	1685
8347	8395	1761
9567	9611	1810
12019	12078	1855
17137	17177	1915
18951	18993	1956
19108	19191	1999
19277	19399	2083
20606	20700	2206
21311	21394	2301
22203	22305	2385
27936	28008	2488
33329	33394	2561
36587	36641	2627
43056	43115	2682
92952	93046	2742
95880	96038	2837
96115	96271	2996
0	232	0
914	1008	233
1100	1175	328
4159	4545	404
6579	6627	791
10251	10310	840
15369	15409	900
17183	17225	941
17340	17423	984
17509	17631	1068
18838	18932	1191
19543	19626	1286
20435	20537	1370
26168	26240	1473
31561	31626	1546
34819	34873	1612
41288	41347	1667
41802	41823	1727
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
15369	15406	453
17183	17225	491
17340	17423	534
17509	17631	618
18838	18932	741
19543	19626	836
20435	20537	920
26168	26240	1023
31561	31626	1096
34819	34873	1162
41288	41347	1217
91184	91278	1277
94112	94493	1372
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
7799	7843	453
10251	10310	498
15369	15406	558
17183	17225	596
17340	17423	639
17509	17631	723
18838	18932	846
19543	19626	941
20435	20537	1025
26168	26240	1128
31561	31626	1201
34819	34873	1267
41288	41347	1322
91184	91278	1382
94112	94495	1477
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
15369	15406	453
17183	17225	491
17340	17423	534
17509	17631	618
18838	18932	741
19543	19626	836
20435	20537	920
27969	28041	1023
31561	31626	1096
34819	34873	1162
41288	41347	1217
91184	91278	1277
94112	94497	1372
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
15369	15409	453
17183	17225	494
17340	17423	537
17509	17631	621
18838	18932	744
19543	19626	839
20435	20537	923
27969	28041	1026
31561	31626	1099
34819	34873	1165
41288	41347	1220
91184	91278	1280
94112	94497	1375
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
7799	7843	453
15369	15409	498
17183	17225	539
17340	17423	582
17509	17631	666
18838	18932	789
19543	19626	884
20435	20537	968
27969	28041	1071
31561	31626	1144
34819	34873	1210
41288	41347	1265
91184	91278	1325
94112	94499	1420
0	232	0
914	1008	233
1100	1175	328
6579	6627	404
7799	7843	453
10251	10310	498
15369	15409	558
17183	17225	599
17340	17423	642
17509	17631	726
18838	18932	849
19543	19626	944
20435	20537	1028
27969	28041	1131
31561	31626	1204
34819	34873	1270
41288	41347	1325
91184	91278	1385
94112	94499	1480
0	44	0
264	363	45
633	660	145
753	803	173
1112	1243	224
3023	3140	356
3811	3989	474
4316	4397	653
4635	4759	735
4847	5468	860
0	68	0
744	917	69
3071	3117	243
0	55	0
172	248	56
3226	3893	133
0	55	0
172	248	56
3226	3361	133
3902	4232	269
0	55	0
172	248	56
3226	3361	133
6903	7050	269
0	108	0
826	1025	109
1137	1286	309
1455	1595	459
0	127	0
356	555	128
667	816	328
985	1125	478
0	265	0
21228	22218	266
0	126	0
293	1173	127
0	148	0
240	370	149
460	704	280
0	59	0
188	316	60
0	61	0
7771	7944	62
18564	18595	236
0	158	0
260	280	159
398	442	180
3873	3917	225
4235	4264	270
4406	4449	300
4546	4690	344
5313	5452	489
5574	5835	629
0	230	0
337	454	231
1044	1095	349
3170	6201	401
0	1499	0
0	1103	0
1208	1287	1104
1412	1580	1184
1846	2052	1353
2516	2671	1560
2867	2954	1716
3113	3271	1804
3440	3635	1963
4578	5072	2159
0	687	0
799	931	688
0	99	0
606	760	100
1195	1269	255
1820	1891	330
4401	4426	402
0	99	0
606	760	100
1195	1269	255
1820	1891	330
4424	4561	402
0	172	0
742	922	173
12483	12565	354
14188	14331	437
14677	14715	581
16220	16330	620
19101	19673	731
22199	22268	1304
29280	29415	1374
30260	30356	1510
30461	30529	1607
30719	30748	1676
30750	30791	1706
31160	32014	1748
0	105	0
7718	8912	106
13871	14327	1301
0	1599	0
2592	2693	1600
